Date,Open,High,Low,Close,Volume,SMAVG (15)
2013-06-12 13:30,162.565,162.72,161.93,162.05,14011840,17842314
2013-06-12 12:30,162.29,162.8,161.98,162.58,16947236,17385774
2013-06-12 11:30,163.08,163.25,162.041,162.3,23016354,16881604
2013-06-12 10:30,163.59,163.73,162.83,163.07,20839960,16072550
2013-06-12 9:30,164.22,164.39,163.2,163.6,26471632,16574642
2013-06-11 15:30,163.54,163.5701,163.045,163.098,23494732,16552181
2013-06-11 14:30,163.68,163.95,163.37,163.54,15680846,16036600
2013-06-11 13:30,163.71,163.72,163.14,163.67,20139824,15919242
2013-06-11 12:30,164.19,164.3,163.68,163.72,11381351,15295412
2013-06-11 11:30,164.3,164.54,164.1,164.2,14447014,15694265
2013-06-11 10:30,163.4499,164.33,163.42,164.3,18976810,16165027
2013-06-11 9:30,163.3,163.55,162.739,163.45,33511830,17630662
2013-06-10 15:30,164.82,164.93,164.54,164.8,10903176,16756967
2013-06-10 14:30,164.71,164.99,164.59,164.82,8439097,17195970
2013-06-10 13:30,164.81,164.83,164.47,164.72,9373003,17783334
2013-06-10 12:30,165.11,165.11,164.68,164.8,7163739,18934242
2013-06-10 11:30,164.96,165.29,164.85,165.11,9384707,20254942
2013-06-10 10:30,164.84,165.24,164.8,164.965,10880530,20804712
2013-06-10 9:30,165.31,165.4,164.37,164.8466,28371334,22456910
2013-06-07 15:30,164.36,164.95,164.36,164.81,26134724,22249736
2013-06-07 14:30,163.92,164.53,163.785,164.36,15761014,22346000
2013-06-07 13:30,164.28,164.39,163.74,163.92,13920471,22758168
2013-06-07 12:30,164.39,164.42,164.02,164.28,10782384,23453178
2013-06-07 11:30,164.62,164.75,164.19,164.3901,17364138,24008808
2013-06-07 10:30,164.2799,164.71,164.15,164.625,21508448,24711390
2013-06-07 9:30,163.85,164.44,163.14,164.28,40961340,25513650
2013-06-06 15:30,162.2,162.74,162.19,162.67,20406402,24252320
2013-06-06 14:30,161.91,162.24,161.64,162.2,17488206,24118068
2013-06-06 13:30,160.97,161.9,160.921,161.9,17249580,24782364
2013-06-06 12:30,160.61,161.31,160.38,160.97,26636618,24657254
2013-06-06 11:30,161.535,161.87,160.25,160.61,26974222,23829226
2013-06-06 10:30,161.395,161.7601,161.14,161.53,17631282,23182868
2013-06-06 9:30,161.2,161.96,160.94,161.4,35663496,23530354
2013-06-05 15:30,161.81,161.98,161.18,161.2,25263724,22797126
2013-06-05 14:30,161.3,161.87,161.13,161.8021,27578672,22014832
2013-06-05 13:30,161.975,162.19,161.22,161.305,21943522,20879570
2013-06-05 12:30,161.84,162.05,161.35,161.985,24345636,20130972
2013-06-05 11:30,162.14,162.41,161.65,161.84,19116836,19562932
2013-06-05 10:30,162.84,162.94,161.99,162.14,27902860,20234982
2013-06-05 9:30,163.09,163.42,162.43,162.85,33542360,21357280
2013-06-04 15:30,163.45,164.13,163.41,163.56,22041376,22077772
2013-06-04 14:30,163.18,163.66,163.155,163.45,18392640,21979014
